Employee Number,Employee Name,Date of Birth,Sex,Citizenship,Race,State,Zip,Marital Status,Department,Manager Name,Position,Performance Rank,Performance Score,Pay Rate,Employee Source,Employment Status,Date of Hire,Date of Termination,Reason for Termination
1301052902,"Clayton, Rick",9/5/85,Male,US Citizen,White,MA,2170,Single,IT/IS,Eric Dougall,IT Support,3,Fully Meets,28.99,Glassdoor,Active,9/5/16,,N/A
1501072093,"Galia, Lisa",7/6/68,Female,US Citizen,White,CT,6040,Single,IT/IS,Eric Dougall,IT Support,3,Fully Meets,31.4,Vendor Referral,Active,5/1/14,,N/A
602000312,"Lindsay, Leonara",10/5/88,Female,US Citizen,Hispanic,CT,6070,Single,IT/IS,Eric Dougall,IT Support,4,Exceeds,26,Diversity Job Fair,Active,1/21/15,,N/A
1203032263,"Soto, Julia",3/12/73,Female,US Citizen,African American,MA,2360,Married,IT/IS,Eric Dougall,IT Support,3,Fully Meets,27.49,Information Session,Active,6/10/15,,N/A
1212052023,"Bacong, Alejandro",1/7/88,Male,US Citizen,White,MA,1886,Divorced,IT/IS,Peter Monroe,Network Engineer,3,Fully Meets,45,Glassdoor,Active,1/5/19,,N/A
1102024173,"Cisco, Anthony",11/24/89,Male,US Citizen,White,MA,2135,Married,IT/IS,Peter Monroe,Network Engineer,0,N/A,42,Information Session,Active,3/30/19,,N/A
1101023540,"Dolan, Linda",7/18/88,Female,US Citizen,White,MA,2119,Married,IT/IS,Peter Monroe,Network Engineer,3,Fully Meets,37,Employee Referral,Active,1/5/19,,N/A
1988299991,"Gonzalez, Maria",4/16/81,Female,US Citizen,White,MA,2472,Separated,IT/IS,Peter Monroe,Network Engineer,3,Fully Meets,39,Employee Referral,Active,1/5/19,,N/A
1012023013,"Merlos, Carlos",6/18/87,Male,US Citizen,White,MA,2138,Single,IT/IS,Peter Monroe,Network Engineer,0,N/A,43,Vendor Referral,Active,3/30/19,,N/A
1001956578,"Morway, Tanya",4/4/79,Female,US Citizen,White,MA,2048,Married,IT/IS,Peter Monroe,Network Engineer,3,Fully Meets,27,Monster.com,Active,2/16/19,,N/A
906014183,"Shepard, Anita",4/14/81,Female,US Citizen,White,MA,1773,Married,IT/IS,Peter Monroe,Network Engineer,3,Fully Meets,47,Vendor Referral,Active,9/30/18,,N/A
1104025466,"Tredinnick, Neville",5/5/88,Male,US Citizen,White,MA,1420,Married,IT/IS,Peter Monroe,Network Engineer,3,Fully Meets,28,Monster.com,Voluntarily Terminated,1/5/19,5/12/19,Medical Issues
1411071506,"Turpin, Jumil",3/31/69,Male,Eligible NonCitizen,White,MA,2343,Married,IT/IS,Peter Monroe,Network Engineer,0,N/A,49.1,Employee Referral,Active,3/30/19,,N/A
1307060199,"Ait Sidi, Karthikeyan",5/5/75,Male,US Citizen,White,MA,2148,Married,IT/IS,Simon Roup,Sr. DBA,3,Fully Meets,62,Company Intranet - Partner,Voluntarily Terminated,3/30/19,6/16/20,Another Position / Career Change
1010022337,"Carr, Claudia  N",6/6/86,Female,US Citizen,African American,MA,1886,Single,IT/IS,Simon Roup,Sr. DBA,0,N/A,61.3,Vendor Referral,Active,6/30/20,,N/A
1412071562,"Favis, Donald",7/30/64,Male,US Citizen,African American,CT,6033,Single,IT/IS,Simon Roup,Sr. DBA,3,Fully Meets,58.2,Vendor Referral,Terminated for Cause,2/17/18,2/19/20,Working Hours
1111030266,"Roehrich, Bianca",5/27/73,Female,US Citizen,White,MA,2703,Single,IT/IS,Simon Roup,Sr. DBA,3,Fully Meets,58.5,Vendor Referral,Voluntarily Terminated,1/5/19,11/10/19,Another Position / Career Change
1411071312,"Daniele, Ann",1/18/52,Female,US Citizen,White,CT,6033,Married,IT/IS,Peter Monroe,Sr. Network Engineer,3,Fully Meets,54.1,Vendor Referral,Leave of Absence,11/10/18,,N/A
1108028108,"Lajiri,  Jyoti",4/23/86,Male,US Citizen,White,MA,2169,Married,IT/IS,Peter Monroe,Sr. Network Engineer,3,Fully Meets,56.2,Employee Referral,Leave of Absence,11/10/18,,N/A
904013591,"Semizoglou, Jeremiah",2/9/83,Male,US Citizen,Asian,MA,1545,Married,IT/IS,Peter Monroe,Sr. Network Engineer,0,N/A,53.8,On-campus Recruiting,Active,6/30/20,,N/A
1308060959,"South, Joe",9/9/65,Male,US Citizen,White,CT,6278,Single,IT/IS,Peter Monroe,Sr. Network Engineer,3,Fully Meets,53,Employee Referral,Active,11/10/18,,N/A
1301052347,"Warfield, Sarah",5/2/78,Female,US Citizen,Asian,MA,2453,Widowed,IT/IS,Peter Monroe,Sr. Network Engineer,0,N/A,55.2,Employee Referral,Active,3/30/19,,N/A
1006020066,"Bramante, Elisa",3/19/83,Female,US Citizen,African American,MA,2030,Single,Production,Janet King,Director of Operations,4,Exceeds,60,Other,Active,1/5/13,,N/A
1501072311,"Albert, Michael",10/10/68,Male,US Citizen,White,MA,2169,Divorced,Production,Janet King,Production Manager,3,Fully Meets,54.5,Employee Referral,Active,8/1/15,,N/A
1303054580,"Bozzi, Charles",3/10/70,Male,US Citizen,Asian,MA,1901,Single,Production,Janet King,Production Manager,3,Fully Meets,50.5,Billboard,Voluntarily Terminated,9/30/17,8/7/18,Retire
1110029990,"Butler, Webster  L",8/9/83,Male,US Citizen,White,MA,2169,Single,Production,Janet King,Production Manager,4,Exceeds,55,Pay Per Click - Google,Active,1/28/20,,N/A
1409070147,"Dunn, Amy",11/28/73,Female,US Citizen,White,MA,1731,Single,Production,Janet King,Production Manager,3,Fully Meets,51,Search Engine - Google Bing Yahoo,Active,9/18/18,,N/A
1307060077,"Gray, Elijiah",7/11/81,Male,US Citizen,White,MA,1752,Divorced,Production,Janet King,Production Manager,3,Fully Meets,54,Employee Referral,Active,6/2/19,,N/A
1001944783,"Hogland, Jonathan",7/1/72,Male,US Citizen,White,MA,1890,Married,Production,Janet King,Production Manager,3,Fully Meets,48.5,Employee Referral,Terminated for Cause,1/10/15,12/12/19,Attitude
1403065874,"Immediato, Walter",11/15/76,Male,US Citizen,Asian,MA,2128,Married,Production,Janet King,Production Manager,2,Needs Improvement,42,Other,Voluntarily Terminated,2/21/15,9/24/16,Unhappy
1103024679,"Liebig, Ketsia",10/26/81,Female,US Citizen,White,MA,2110,Married,Production,Janet King,Production Manager,4,Exceeds,55,Website Banner Ads,Active,9/30/17,,N/A
1107027351,"Miller, Brannon",8/10/81,Male,US Citizen,Hispanic,MA,2045,Single,Production,Janet King,Production Manager,3,Fully Meets,53,Internet Search,Active,8/16/16,,N/A
1402065355,"Peterson, Ebonee",5/9/77,Female,US Citizen,White,MA,2030,Married,Production,Janet King,Production Manager,3,Fully Meets,38.5,Internet Search,Voluntarily Terminated,10/25/14,5/18/20,Another Position / Career Change
1102024149,"Spirea, Kelley",9/30/75,Female,US Citizen,White,MA,2451,Married,Production,Janet King,Production Manager,3,Fully Meets,52,Vendor Referral,Active,10/2/16,,N/A
1000974650,"Stanley, David",12/17/75,Male,US Citizen,White,MA,1803,Divorced,Production,Janet King,Production Manager,2,Needs Improvement,53,Monster.com,Active,7/20/14,,N/A
1405067298,"Sullivan, Kissy",3/28/78,Female,US Citizen,African American,MA,1776,Married,Production,Janet King,Production Manager,3,Fully Meets,55,Billboard,Active,1/8/13,,N/A
1410071026,"Wallace, Courtney  E",11/14/55,Female,US Citizen,African American,MA,2478,Married,Production,Janet King,Production Manager,3,Fully Meets,33.5,Diversity Job Fair,Voluntarily Terminated,9/26/15,1/2/16,Another Position / Career Change
1409070522,"Adinolfi, Wilson  K",7/10/83,Male,US Citizen,White,MA,1960,Single,Production,Michael Albert,Production Technician I,4,Exceeds,20,MBTA ads,Active,7/5/15,,N/A
1011022883,"Alagbe,Trina",9/27/88,Female,US Citizen,White,MA,1886,Married,Production,Elijiah Gray,Production Technician I,3,Fully Meets,21,Billboard,Active,1/7/12,,N/A
1001417624,"Anderson, Carol",9/8/89,Female,US Citizen,White,MA,2169,Divorced,Production,Webster Butler,Production Technician I,0,N/A,16,Word of Mouth,Voluntarily Terminated,7/11/15,9/6/15,Return to School
1304055947,"Anderson, Linda",5/22/77,Female,US Citizen,White,MA,1844,Single,Production,Amy Dunn,Production Technician I,5,Exceptional,23,MBTA ads,Active,1/9/16,,N/A
1301052124,"Athwal, Sam",2/18/83,Male,US Citizen,White,MA,2199,Widowed,Production,Ketsia Liebig,Production Technician I,0,N/A,22,Employee Referral,Active,9/30/17,,N/A
1212051409,"Bachiochi, Linda",2/11/70,Female,US Citizen,Hispanic,MA,1902,Single,Production,Brannon Miller,Production Technician I,3,Fully Meets,22,Diversity Job Fair,Leave of Absence,7/6/13,,N/A
1307060083,"Baczenski, Rachael",1/12/74,Female,US Citizen,Hispanic,MA,1902,Married,Production,David Stanley,Production Technician I,0,N/A,17,Diversity Job Fair,Voluntarily Terminated,1/10/15,1/12/15,Another Position / Career Change
1312063507,"Barbara, Thomas",2/21/74,Male,US Citizen,Asian,MA,2062,Married,Production,Kissy Sullivan,Production Technician I,3,Fully Meets,22,Diversity Job Fair,Voluntarily Terminated,4/2/16,9/19/16,Unhappy
1101023679,"Barone, Francesco  A",7/20/83,Male,US Citizen,Hispanic,MA,1810,Single,Production,Kelley Spirea,Production Technician I,3,Fully Meets,16.76,Social Networks - Facebook Twitter etc,Active,2/20/16,,N/A
1212051962,"Barton, Nader",7/15/77,Male,US Citizen,White,MA,2747,Divorced,Production,Michael Albert,Production Technician I,3,Fully Meets,18,On-line Web application,Voluntarily Terminated,9/24/16,4/6/17,Another Position / Career Change
1403066194,"Beatrice, Courtney",10/27/70,Female,Eligible NonCitizen,White,MA,1915,Single,Production,Elijiah Gray,Production Technician I,3,Fully Meets,22,Search Engine - Google Bing Yahoo,Active,4/4/15,,N/A
1110029777,"Becker, Scott",4/6/79,Male,US Citizen,Asian,MA,2452,Single,Production,Webster Butler,Production Technician I,3,Fully Meets,17,MBTA ads,Leave of Absence,7/8/17,,N/A
1109029366,"Bernstein, Sean",12/22/70,Male,US Citizen,White,MA,2072,Single,Production,Amy Dunn,Production Technician I,3,Fully Meets,16,Word of Mouth,Active,4/2/16,,N/A
1412071844,"Biden, Lowan  M",12/27/58,Female,US Citizen,Asian,MA,2027,Divorced,Production,Ketsia Liebig,Production Technician I,3,Fully Meets,22,Billboard,Active,8/19/17,,N/A
1308060366,"Billis, Helen",9/1/89,Female,US Citizen,White,MA,2031,Married,Production,Brannon Miller,Production Technician I,4,Exceeds,16,Professional Society,Active,7/7/18,,N/A
1406068293,"Brill, Donna",8/24/90,Female,US Citizen,White,MA,1701,Married,Production,David Stanley,Production Technician I,3,Fully Meets,20,Search Engine - Google Bing Yahoo,Voluntarily Terminated,4/2/16,6/15/17,Another Position / Career Change
1408069635,"Bugali, Josephine",10/30/69,Female,US Citizen,African American,MA,2043,Separated,Production,Kissy Sullivan,Production Technician I,3,Fully Meets,20,Diversity Job Fair,Leave of Absence,11/11/17,,N/A
1311063114,"Carey, Michael",2/2/83,Male,US Citizen,African American,MA,1701,Single,Production,Kelley Spirea,Production Technician I,3,Fully Meets,20,MBTA ads,Active,3/31/18,,N/A
1208048062,"Chace, Beatrice",1/2/51,Female,US Citizen,White,MA,2763,Single,Production,Michael Albert,Production Technician I,3,Fully Meets,16,Search Engine - Google Bing Yahoo,Active,9/29/18,,N/A
1305057282,"Chan, Lin",2/12/79,Female,US Citizen,White,MA,2170,Single,Production,Elijiah Gray,Production Technician I,3,Fully Meets,19.5,Internet Search,Active,5/12/18,,N/A
1111030129,"Chang, Donovan  E",8/24/83,Male,US Citizen,White,MA,1845,Single,Production,Webster Butler,Production Technician I,3,Fully Meets,22,Newspager/Magazine,Active,7/8/17,,N/A
1101023394,"Chivukula, Enola",8/27/83,Female,US Citizen,White,MA,1775,Single,Production,Amy Dunn,Production Technician I,3,Fully Meets,21,Other,Voluntarily Terminated,6/27/15,11/15/19,Relocation out of Area
1012023295,"Cierpiszewski, Caroline",5/31/88,Female,Non-Citizen,African American,MA,2044,Single,Production,Ketsia Liebig,Production Technician I,3,Fully Meets,22,Pay Per Click - Google,Active,10/3/15,,N/A
1407069280,"Clukey, Elijian",8/26/80,Male,US Citizen,White,MA,2134,Married,Production,Brannon Miller,Production Technician I,4,Exceeds,24.75,Employee Referral,Active,7/6/20,,N/A
1599991009,"Cockel, James",9/8/77,Male,US Citizen,White,MA,2452,Single,Production,David Stanley,Production Technician I,3,Fully Meets,15,Employee Referral,Active,7/8/17,,N/A
1001450968,"Cole, Spencer",8/12/79,Male,US Citizen,African American,MA,1880,Single,Production,Kissy Sullivan,Production Technician I,2,Needs Improvement,15,MBTA ads,Terminated for Cause,7/11/15,9/23/16,Performance
1403066069,"Cornett, Lisa",3/31/77,Female,US Citizen,White,MA,2189,Married,Production,Kelley Spirea,Production Technician I,3,Fully Meets,15.75,Billboard,Active,1/5/19,,N/A
1311063172,"Crimmings,   Jean",4/10/87,Female,US Citizen,White,MA,1821,Single,Production,Michael Albert,Production Technician I,0,N/A,19.75,Newspager/Magazine,Active,7/6/20,,N/A
1001109612,"Darson, Jene'ya",11/5/78,Female,US Citizen,White,MA,2110,Married,Production,Elijiah Gray,Production Technician I,3,Fully Meets,15,Billboard,Active,7/2/16,,N/A
1306058816,"DeGweck,  James",10/31/77,Male,US Citizen,White,MA,1810,Married,Production,Webster Butler,Production Technician I,3,Fully Meets,23.5,Billboard,Voluntarily Terminated,5/16/15,6/8/19,Unhappy
1501072124,"Desimone, Carl",4/19/67,Male,US Citizen,White,MA,2061,Married,Production,Amy Dunn,Production Technician I,1,Performance Improvement Plan,20,Professional Society,Active,7/7/18,,N/A
706006285,"Dickinson, Geoff",11/15/82,Male,US Citizen,White,MA,2180,Single,Production,Ketsia Liebig,Production Technician I,3,Fully Meets,21,Pay Per Click - Google,Active,5/12/18,,N/A
1209048696,"DiNocco, Lily",12/2/78,Female,US Citizen,African American,MA,2351,Married,Production,Brannon Miller,Production Technician I,2,Needs Improvement,22,Pay Per Click - Google,Active,1/7/17,,N/A
1202031618,"Dobrin, Denisa  S",10/7/86,Female,US Citizen,White,MA,2125,Single,Production,David Stanley,Production Technician I,3,Fully Meets,16.75,Monster.com,Active,4/2/16,,N/A
1406067865,"Eaton, Marianne",9/5/91,Female,US Citizen,White,MA,2343,Married,Production,Kissy Sullivan,Production Technician I,3,Fully Meets,17,Search Engine - Google Bing Yahoo,Voluntarily Terminated,4/4/15,6/6/17,Military
1007020403,"Engdahl, Jean",5/31/74,Male,US Citizen,White,MA,2026,Single,Production,Kelley Spirea,Production Technician I,3,Fully Meets,21.25,MBTA ads,Active,11/10/18,,N/A
1101023612,"England, Rex",8/25/78,Male,US Citizen,White,MA,2045,Married,Production,Kelley Spirea,Production Technician I,3,Fully Meets,21,Employee Referral,Active,3/31/18,,N/A
1104025243,"Estremera, Miguel",9/2/83,Male,US Citizen,White,MA,2129,Single,Production,Michael Albert,Production Technician I,2,Needs Improvement,17,Word of Mouth,Terminated for Cause,4/2/16,9/27/18,Attitude
1107027392,"Evensen, April",5/6/89,Female,US Citizen,White,MA,2458,Single,Production,Elijiah Gray,Production Technician I,0,N/A,18,Word of Mouth,Terminated for Cause,2/17/18,2/25/18,Gross Misconduct
1502072511,"Ferguson, Susan",4/14/55,Female,US Citizen,White,MA,2176,Married,Production,Webster Butler,Production Technician I,3,Fully Meets,20,Search Engine - Google Bing Yahoo,Voluntarily Terminated,11/7/15,5/17/18,Military
1302053339,"Fernandes, Nilson",10/18/89,Male,US Citizen,White,MA,2132,Married,Production,Amy Dunn,Production Technician I,0,N/A,18,Professional Society,Active,5/11/19,,N/A
803009012,"Ferreira, Violeta",6/10/86,Female,US Citizen,White,MA,2176,Single,Production,Ketsia Liebig,Production Technician I,3,Fully Meets,23,Newspager/Magazine,Active,2/20/16,,N/A
1006020020,"Fidelia,  Libby",3/16/81,Female,US Citizen,White,MA,2155,Married,Production,Brannon Miller,Production Technician I,3,Fully Meets,24,Social Networks - Facebook Twitter etc,Active,1/9/16,,N/A
1309061015,"Garcia, Raul",9/15/85,Male,US Citizen,White,MA,1905,Single,Production,David Stanley,Production Technician I,0,N/A,19,Employee Referral,Active,3/30/19,,N/A
1104025414,"Garneau, Hamish",4/18/80,Male,US Citizen,Asian,MA,1550,Single,Production,Kissy Sullivan,Production Technician I,3,Fully Meets,18,Professional Society,Active,7/8/17,,N/A
1105026041,"Gaul, Barbara",12/2/83,Female,US Citizen,African American,MA,2121,Single,Production,Kelley Spirea,Production Technician I,3,Fully Meets,24,MBTA ads,Active,5/16/15,,N/A
1501072192,"Gentry, Mildred",10/1/90,Female,US Citizen,African American,MA,2145,Married,Production,Michael Albert,Production Technician I,0,N/A,19,Professional Society,Active,3/30/19,,N/A
1308060622,"Gerke, Melisa",5/15/70,Female,US Citizen,White,MA,2330,Divorced,Production,Elijiah Gray,Production Technician I,0,N/A,22,Diversity Job Fair,Voluntarily Terminated,11/7/15,11/15/15,Working Hours
1008020960,"Gilles, Alex",8/9/74,Male,US Citizen,African American,MA,2062,Married,Production,Webster Butler,Production Technician I,2,Needs Improvement,15,Diversity Job Fair,Voluntarily Terminated,4/2/16,6/25/19,Military
1204032927,"Girifalco, Evelyn",5/8/80,Female,US Citizen,Hispanic,MA,2451,Single,Production,Amy Dunn,Production Technician I,4,Exceeds,16,Professional Society,Active,9/29/18,,N/A
1408069539,"Gold, Shenice",6/18/92,Female,US Citizen,White,MA,2451,Single,Production,Ketsia Liebig,Production Technician I,3,Fully Meets,17,Glassdoor,Active,11/11/17,,N/A
1411071212,"Gonzalez, Cayo",9/29/69,Male,US Citizen,Hispanic,MA,2108,Divorced,Production,Brannon Miller,Production Technician I,4,Exceeds,16,Diversity Job Fair,Active,7/11/15,,N/A
1106026579,"Gordon, David",5/21/79,Male,US Citizen,White,MA,2169,Married,Production,David Stanley,Production Technician I,3,Fully Meets,15,MBTA ads,Active,7/2/16,,N/A
1312063675,"Goyal, Roxana",10/9/74,Female,US Citizen,Asian,MA,1864,Married,Production,Kissy Sullivan,Production Technician I,3,Fully Meets,24,On-campus Recruiting,Leave of Absence,8/19/17,,N/A
1103024859,"Gross, Paula",5/21/83,Female,US Citizen,White,MA,2176,Divorced,Production,Kelley Spirea,Production Technician I,3,Fully Meets,14,Monster.com,Voluntarily Terminated,2/21/15,1/11/18,More Money
1405067064,"Handschiegl, Joanne",3/23/77,Female,US Citizen,White,MA,2127,Married,Production,Michael Albert,Production Technician I,3,Fully Meets,24,Word of Mouth,Active,11/28/15,,N/A
1406068241,"Harrell, Ludwick",9/2/82,Male,US Citizen,Asian,MA,1776,Married,Production,Elijiah Gray,Production Technician I,3,Fully Meets,21,Search Engine - Google Bing Yahoo,Active,5/14/16,,N/A
1110029602,"Harrington, Christie",8/18/52,Female,US Citizen,White,MA,2324,Single,Production,Webster Butler,Production Technician I,3,Fully Meets,19.75,Monster.com,Voluntarily Terminated,1/9/16,12/15/19,Retire
1404066622,"Harrison, Kara",5/2/74,Female,US Citizen,White,MA,1886,Married,Production,Amy Dunn,Production Technician I,4,Exceeds,20,Monster.com,Active,5/12/18,,N/A
1002017900,"Heitzman, Anthony",1/4/84,Male,US Citizen,White,MA,2149,Single,Production,Ketsia Liebig,Production Technician I,3,Fully Meets,19,Social Networks - Facebook Twitter etc,Active,8/13/16,,N/A
1408069882,"Ivey, Rose",1/28/91,Female,US Citizen,White,MA,1775,Single,Production,Brannon Miller,Production Technician I,3,Fully Meets,16,Professional Society,Active,8/19/17,,N/A
1201031438,"Jackson, Maryellen",9/11/72,Female,US Citizen,White,MA,2081,Single,Production,David Stanley,Production Technician I,3,Fully Meets,20,Newspager/Magazine,Active,11/5/16,,N/A
1503072857,"Jacobi, Hannah",3/22/66,Female,US Citizen,White,MA,1778,Divorced,Production,Kissy Sullivan,Production Technician I,3,Fully Meets,21,Employee Referral,Active,9/30/17,,N/A
1412071713,"Jhaveri, Sneha",4/13/64,Female,US Citizen,White,MA,2109,Separated,Production,Kelley Spirea,Production Technician I,3,Fully Meets,19,On-campus Recruiting,Active,1/6/18,,N/A
1105025721,"Johnson, George",8/19/59,Male,US Citizen,White,MA,2445,Married,Production,Michael Albert,Production Technician I,4,Exceeds,17,Monster.com,Voluntarily Terminated,11/7/15,4/29/20,More Money
1107027450,"Jung, Judy",4/17/86,Female,US Citizen,White,MA,2446,Married,Production,Elijiah Gray,Production Technician I,3,Fully Meets,21,Monster.com,Voluntarily Terminated,1/10/15,4/1/20,Unhappy
1301052462,"Keatts, Kramer",1/19/76,Male,US Citizen,White,MA,1887,Single,Production,Michael Albert,Production Technician I,3,Fully Meets,19,Billboard,Active,9/30/17,,N/A
710007401,"Kinsella, Kathleen",12/8/73,Female,US Citizen,White,MA,2170,Married,Production,Webster Butler,Production Technician I,3,Fully Meets,22,Search Engine - Google Bing Yahoo,Voluntarily Terminated,9/26/15,6/4/19,More Money
903013071,"Kirill, Alexandra",10/8/70,Female,US Citizen,White,MA,2127,Married,Production,Amy Dunn,Production Technician I,3,Fully Meets,24,Search Engine - Google Bing Yahoo,Voluntarily Terminated,9/26/15,1/9/16,More Money
1304055683,"Knapp, Bradley  J",11/10/77,Male,US Citizen,African American,MA,1721,Single,Production,Ketsia Liebig,Production Technician I,3,Fully Meets,14,On-campus Recruiting,Active,2/17/18,,N/A
